420,32.0508,34.7596,שד ירושלים פינת בן צבי 1
415,32.0419,34.7736,שדרות בן צבי 91
523,32.0481,34.7936,אצל 93
518,32.0471,34.8003,דרך בר לב 111
511,32.0545,34.7866,ההגנה 31 - תחנת רכבת ההגנה
509,32.0564,34.7986,הטייסים 40
512,32.0569,34.7918,יגאל אלון 33 פינת ההגנה
503,32.0695,34.7939,יגאל אלון 96
519,32.0744,34.8,ילקוט  הרועים 2 - נחלת יצחק
516,32.0497,34.8121,מחל 79
514,32.0532,34.8103,מעפילי אגוז 59
513,32.0529,34.7996,משה דיין 45
508,32.0646,34.7986,משה דיין פינת יצחק שדה
504,32.058,34.8001,משה דיין פינת לה גרדיה
515,32.05,34.7889,סמטת כביר 18
520,32.0435,34.8047,פארק דרום בכניסה
416,32.056,34.7698,פלורנטין שד וושינגטון 
510,32.0504,34.7981,קרייתי מול 28
360,32.0701,34.7901,שד יהודית 11 פינת הנציב
